n,base_avg,base_std,floyd_avg,floyd_std
10,0.00023136875006457558,3.964756422012028e-05,0.00010069375184684759,3.878548855530513e-05
20,0.00386984687520453,0.00028903789380570216,0.0010339874979763408,9.816331715794763e-05
40,0.061888365625236474,0.0029008576259492488,0.008888506249604688,0.0003981695996891744
60,0.32327148750118795,0.012608694843876507,0.03214966562245536,0.0026195363329001953
80,1.0425167281227914,0.04010983498098577,0.07675798125001165,0.0046566370286915135
100,2.6883342843766513,0.14382421450262683,0.15919579375349713,0.017834626451772747
