n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0,0,0,0,0,0,0
51,1.24906e+06,440299,996000,998575,999550,1.2503e+06,2.0023e+06
101,7.54082e+06,1.1689e+06,5.9978e+06,6.9993e+06,7.00275e+06,8.00285e+06,1.10041e+07
151,2.19059e+07,2.47559e+06,1.90014e+07,2.0002e+07,2.10018e+07,2.4002e+07,2.70019e+07
201,4.83193e+07,3.03256e+06,4.40012e+07,4.50041e+07,4.90031e+07,5.00043e+07,5.50044e+07
251,9.67072e+07,1.16181e+07,8.70051e+07,9.17546e+07,9.30076e+07,9.72968e+07,1.51004e+08
301,1.62943e+08,6.72556e+06,1.5002e+08,1.5976e+08,1.62008e+08,1.67012e+08,1.81013e+08
