n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0,0,0,0,0,0,0
51,4.76577e+07,1.45084e+07,3.50013e+07,3.90029e+07,4.20042e+07,5.17524e+07,1.04009e+08
101,3.24692e+08,3.62391e+07,2.65734e+08,3.02424e+08,3.22053e+08,3.49818e+08,4.41033e+08
151,1.05147e+09,5.74008e+07,9.67998e+08,1.01561e+09,1.0406e+09,1.07738e+09,1.21758e+09
201,2.5392e+09,1.54269e+08,2.28644e+09,2.437e+09,2.52109e+09,2.63187e+09,2.94498e+09
251,4.75397e+09,1.94411e+08,4.47139e+09,4.62782e+09,4.70255e+09,4.89244e+09,5.22303e+09
301,8.02152e+09,2.79142e+08,7.62824e+09,7.87155e+09,8.0178e+09,8.08869e+09,9.05758e+09
