n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0,0,0,0,0,0,0
51,5.62867e+07,1.21883e+07,4.10024e+07,4.80044e+07,5.1502e+07,6.27519e+07,9.2007e+07
101,3.72759e+08,3.04875e+07,3.25716e+08,3.51254e+08,3.59655e+08,3.93625e+08,4.3435e+08
151,1.28964e+09,1.19158e+08,1.16577e+09,1.21901e+09,1.25633e+09,1.29996e+09,1.63995e+09
201,3.09131e+09,3.05981e+08,2.77264e+09,2.91994e+09,3.06169e+09,3.12627e+09,4.41587e+09
251,5.62643e+09,1.64497e+08,5.31726e+09,5.5136e+09,5.5843e+09,5.71016e+09,6.04436e+09
301,9.49464e+09,2.14252e+08,9.03302e+09,9.36525e+09,9.50358e+09,9.6641e+09,9.94811e+09
