n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0,0,0,0,0,0,0
51,3.59387e+06,560722,2.9964e+06,2.9997e+06,3.99835e+06,4.00142e+06,4.9991e+06
101,2.38143e+07,2.58394e+06,1.99986e+07,2.10002e+07,2.45018e+07,2.60018e+07,2.70026e+07
151,7.00899e+07,5.43803e+06,6.40045e+07,6.50052e+07,7.00043e+07,7.30056e+07,8.48781e+07
201,1.64353e+08,1.51113e+07,1.49264e+08,1.53824e+08,1.61023e+08,1.69005e+08,2.16748e+08
251,3.02924e+08,1.12642e+07,2.83075e+08,2.98647e+08,3.01165e+08,3.05991e+08,3.34366e+08
301,5.44675e+08,6.48999e+07,4.94695e+08,5.13537e+08,5.18614e+08,5.50363e+08,8.00062e+08
