n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0,0,0,0,0,0,0
51,2.96884e+06,694495,1.9986e+06,2.99835e+06,2.9998e+06,3.00128e+06,4.9983e+06
101,2.13891e+07,2.02278e+06,1.80011e+07,2.0001e+07,2.10012e+07,2.3003e+07,2.50019e+07
151,6.7161e+07,2.87496e+06,6.20046e+07,6.47544e+07,6.75043e+07,6.80061e+07,7.30057e+07
201,1.60802e+08,1.02413e+07,1.49011e+08,1.54007e+08,1.59731e+08,1.62818e+08,1.93034e+08
251,3.09675e+08,1.66605e+07,2.89486e+08,3.00541e+08,3.05237e+08,3.13534e+08,3.7048e+08
301,5.35597e+08,3.4432e+07,4.94522e+08,5.16512e+08,5.29819e+08,5.39263e+08,6.78261e+08
