n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0,0,0,0,0,0,0
51,1.26248e+07,2.393e+06,8.9972e+06,1.07509e+07,1.19992e+07,1.4249e+07,1.79994e+07
101,7.981e+07,9.95388e+06,6.80048e+07,7.17548e+07,7.65058e+07,8.72562e+07,1.0143e+08
151,2.47274e+08,2.37293e+07,2.23536e+08,2.32342e+08,2.45037e+08,2.54283e+08,3.53026e+08
201,6.10612e+08,4.44635e+07,5.5352e+08,5.84971e+08,6.0317e+08,6.20171e+08,7.44736e+08
251,1.13597e+09,5.33437e+07,1.046e+09,1.09846e+09,1.12293e+09,1.16555e+09,1.28533e+09
301,1.94131e+09,7.52869e+07,1.85015e+09,1.88534e+09,1.91558e+09,1.98322e+09,2.13296e+09
