n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0,0,0,0,0,0,0
51,531409,567398,0,0,499300,1.00002e+06,2.0033e+06
101,3.99988e+06,622237,2.9951e+06,3.99778e+06,3.99975e+06,4.0017e+06,5.0023e+06
151,1.26261e+07,5.87449e+06,9.0009e+06,1.00015e+07,1.10006e+07,1.22527e+07,4.20044e+07
201,2.49004e+07,3.14096e+06,2.00013e+07,2.29994e+07,2.45018e+07,2.68245e+07,3.10014e+07
251,4.77001e+07,4.99049e+06,4.00019e+07,4.45025e+07,4.80049e+07,5.20037e+07,5.90057e+07
301,7.44673e+07,4.81944e+06,6.70028e+07,7.00048e+07,7.48974e+07,7.72572e+07,8.50067e+07
